search_id,priority,aoi_id,aoi_upload_file,aoi_name,province,bbox_wgs84_w_s_e_n,approx_area_km2,search_start,search_end,window_role,event_id,what_to_look_for,expected_yield
S1,1,AOI-01,resources/aoi/upload/aoi-01_mae_sai_core.geojson,Mae Sai core,Chiang Rai,"99.8384, 20.3705, 99.9441, 20.4563",104.6,2024-08-01,2024-10-31,pre_event_and_event,mae_sai_2024,"Anything before 2024-09-09 is a pre-event baseline and is the single most valuable acquisition for this event. 2024-09-09 to 09-30 is during the flood; take it if it exists at all. October is early post-event.",high_for_pre_event_very_low_for_event
S2,1,AOI-01,resources/aoi/upload/aoi-01_mae_sai_core.geojson,Mae Sai core,Chiang Rai,"99.8384, 20.3705, 99.9441, 20.4563",104.6,2024-11-01,2025-02-28,post_event_clear_baseline,mae_sai_2024,"Clear season. Best chance of low cloud for verifying the 42 candidate facilities and the road and bridge segments. Favour Nov to Jan; February onward brings biomass-burning haze that degrades imagery without always being logged as cloud.",very_high
S3,2,AOI-03,resources/aoi/upload/aoi-03_hat_yai_core.geojson,Hat Yai core,Songkhla,"100.4300, 6.9650, 100.5200, 7.0550",99.0,2025-10-01,2025-12-31,near_pre_event_and_event,hat_yai_2025,"Brackets the November 2025 flood. Partial cloud is acceptable here; Sentinel-2 showed roughly 60 percent of the area visible on 2025-12-03, so a usable flood-period scene is plausible.",medium
S4,2,AOI-03,resources/aoi/upload/aoi-03_hat_yai_core.geojson,Hat Yai core,Songkhla,"100.4300, 6.9650, 100.5200, 7.0550",99.0,2026-01-01,2026-06-30,post_event_clear_baseline,hat_yai_2025,"First reliably clear period after the event. March and April were the clearest months measured.",high
S5,2,AOI-05,resources/aoi/upload/aoi-05_chao_phraya_bang_ban_sena.geojson,Bang Ban / Sena,Phra Nakhon Si Ayutthaya,"100.4000, 14.2500, 100.5200, 14.3700",171.8,2024-08-01,2024-11-30,pre_event_and_event,chao_phraya_2024,"The 2024 Chao Phraya flood season. This is the one area where near-clear imagery during a flood is confirmed to exist; Sentinel-2 measured 6.5 percent cloud over this area on 2024-11-11.",high
S6,3,AOI-05,resources/aoi/upload/aoi-05_chao_phraya_bang_ban_sena.geojson,Bang Ban / Sena,Phra Nakhon Si Ayutthaya,"100.4000, 14.2500, 100.5200, 14.3700",171.8,2024-12-01,2025-03-31,dry_season_reference,chao_phraya_2024,"Central plain dry season. Clear acquisitions are near certain if any scene exists.",very_high
S7,3,AOI-06,resources/aoi/upload/aoi-06_chao_phraya_rangsit.geojson,Rangsit / Thanyaburi,Pathum Thani,"100.6000, 13.9800, 100.7200, 14.0800",143.3,2024-08-01,2024-11-30,pre_event_and_event,chao_phraya_2024,"Lowest priority. Skip if short on time. Sentinel-2 measured 0.8 percent cloud over this area on 2024-11-21.",high
S8,3,AOI-06,resources/aoi/upload/aoi-06_chao_phraya_rangsit.geojson,Rangsit / Thanyaburi,Pathum Thani,"100.6000, 13.9800, 100.7200, 14.0800",143.3,2024-12-01,2025-03-31,dry_season_reference,chao_phraya_2024,"Lowest priority. Skip if short on time.",very_high
S9,optional,AOI-03,resources/aoi/upload/aoi-03_hat_yai_core.geojson,Hat Yai core,Songkhla,"100.4300, 6.9650, 100.5200, 7.0550",99.0,2025-03-01,2025-07-31,earlier_pre_event,hat_yai_2025,"Only if an earlier pre-event reference is wanted. Low yield: only 1 of 38 Sentinel-2 dates in this period fell below 10 percent cloud over the area.",low
S10,optional,AOI-05,resources/aoi/upload/aoi-05_chao_phraya_bang_ban_sena.geojson,Bang Ban / Sena,Phra Nakhon Si Ayutthaya,"100.4000, 14.2500, 100.5200, 14.3700",171.8,2025-09-01,2025-11-30,event_2025,chao_phraya_2025,"Second seasonal repeat as an independent event fold. 2025 was markedly cloudier than 2024.",low
S11,fallback,AOI-02,resources/aoi/upload/aoi-02_mae_sai_district.geojson,Mae Sai district,Chiang Rai,"99.8107, 20.2577, 100.0368, 20.4651",541.1,2024-11-01,2025-02-28,post_event_clear_baseline,mae_sai_2024,"Only after S1 and S2 succeed. This envelope is 23.6 x 22.9 km, larger than a single THEOS-2 footprint, so it returns nothing if the portal requires a scene to contain the AOI rather than intersect it. Use it to extend coverage to all 8 subdistricts.",unknown_depends_on_portal_semantics
S12,fallback,AOI-04,resources/aoi/upload/aoi-04_hat_yai_basin.geojson,Hat Yai / U Taphao extended,Songkhla,"100.3800, 6.9000, 100.5800, 7.1200",537.6,2025-10-01,2025-12-31,near_pre_event_and_event,hat_yai_2025,"Only after S3 succeeds. Same containment caveat as S11.",unknown_depends_on_portal_semantics
