id,requirement,proposal_pages,scope,status,completion_criterion,milestones,evidence,acceptance_checks,execution_status,implementation_path,output_receipt,test,review_decision,owner,last_verified_sha,remaining_blocker
R01,"Evidence identity, hashes, event and rights envelope","13-16,20",Foundation,Implemented,Retain package/event/hash and separate processing/publication/validation permissions; test missing parents and mixed versions.,"M0,M1",S2-S5,AC01;AC02;AC03;AC49,PARTIAL,docs/proposal_execution/STATUS.md; scripts/verify_public_source_inventory.py,Project Support/FloodGuard/execution/2026-09-23/public-source-inventory.json,363/363 public source SHA256 files verified; 5 projection/inventory tests passed,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,Purpose-specific rights and event/downstream authorization remain separate.
R02,Calibrated Sentinel-1 observation baseline,"9-10,17,21,31",Finals core,Partial / qualification blocked,"Bind original SAFE, orbit/noise/radiometric/terrain processing and alignment QA to a reproducible active run; do not call amplitude a calibrated probability.",M2,"S2,S4",AC06;AC07,PARTIAL,docs/proposal_execution/geoai_method.md; resources/snap/sentinel1_grd_rtc_v1.xml,FloodGuard_external_data/proposal_execution/mae_sai_2024_gamma0_otsu_v1_20260923r3/candidate_receipt.json,Gamma0 candidate run: 81/81 windows abstained; no classified extent,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,"Current Gamma0 candidate abstained; Sigma0/speckle deviation, DEM lowland validity and independent reference remain unresolved."
R03,Adaptive threshold and water/terrain masking,"9-10,17,24",Finals core,Partial,Implement or document a justified method deviation; compare prespecified threshold variants with permanent-water and invalid/terrain masks.,"M2,M3","S2,S4",AC07;AC08,PARTIAL,src/floodguard/label_factory/sentinel1_processing.py; scripts/build_sentinel1_threshold_baseline.py,FloodGuard_external_data/proposal_execution/mae_sai_2024_gamma0_otsu_v1_20260923r3/candidate_receipt.json,tests/test_label_factory_sentinel1_threshold_baseline.py; 81/81 windows abstained in source-bound run,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,Candidate threshold yields no classified Mae Sai pixels; independent reference and variant evaluation absent.
R04,Qualified event-aligned Thai reference,"20-25,31",Finals core,Blocked,"Establish rights, observation interval/footprint, independence, holdout and immutable qualified release.","M1,M3",S5,AC04;AC05;AC09;AC10,BLOCKED,docs/proposal_execution/REVIEW_PACKAGE.md; docs/proposal_execution/UNRESOLVED.md,,,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,"Real Reference Authority/source and three independent reviewers not yet identified in a signed, source-bound release."
R05,Probability calibration and abstention,"8,22-24",Core when probabilities claimed,Blocked,Use independent calibration/evaluation partitions; provide Brier/NLL/ECE and risk-coverage or withhold probability claims.,"M3,M7",S4-S5,AC10;AC11;AC12,BLOCKED,docs/proposal_execution/geoai_method.md; docs/proposal_execution/REVIEW_PACKAGE.md,,,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,"No qualified labels, independent partition, holdout and calibration study."
R06,Interpretable RF/XGBoost improvement,"8,10,18,21",Conditional,Not demonstrated as promoted,Train only on cleared event labels; compare frozen baseline/downstream metrics; reject promotion if not beneficial.,M11,"S5,S10",AC11;AC13;AC14,BLOCKED,src/floodguard/label_factory/multi_event_preflight.py; docs/proposal_execution/ml_authorization.md,Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/geoai-research-resolved-py312.txt,"Synthetic file-backed preflight/holdout-opening tests only; 292 frozen optional packages resolved with uv dry-run, 293 Python 3.12 research pins compiled without installation or experiment",Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,"Five independent qualified real events, owner/custody authority and frozen evaluation absent; dependency resolution does not authorize a learned experiment."
R07,Deep SAR / optical / foundation-model work,"8,12,21",Conditional / roadmap,"Infrastructure, not qualified result",Use separate sensor/feature contracts and held-out transfer tests; each model must justify cost and improve accepted comparisons.,"M11,M14","S5,S10",AC11;AC13;AC14;AC48,NOT RUN,docs/proposal_execution/ml_authorization.md,,,,Implementation lead; independent authority where required,,Advanced family not selected/authorized; five-event and purpose gates remain.
R08,"Terrain, HAND and contextual covariates",9-16,Core method / conditional ML,Partial,QA DEM and drainage; validate HAND and feature definitions; qualify any claimed building/vegetation correction.,"M2,M11",S2-S4,AC06,PARTIAL,docs/proposal_execution/geoai_method.md; resources/snap/sentinel1_grd_rtc_v1.xml,,,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,DEM vertical-datum and zero-elevation handling need lowland-specific verification before transfer.
R09,Population and facility flood exposure,"10-11,24-25,31",Finals core,Candidate estimates implemented,"Bind accepted observation or explicit scenario; distinguish footprint gaps, full/partial units, exposure denominator and uncertainty.","M3,M5,M7",S2-S4,AC09;AC21;AC22,BLOCKED,docs/proposal_execution/scoring_sensitivity.md; apps/web/public/evidence-library/catalog.json,,,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,"No accepted observation, same-year accepted population exposure or downstream receipt."
R10,Age-resolved exposure and compatible controls,"5-6,21,31",Finals core,Blocked,Select exact age bands/year; preserve definitions; crosswalk string codes; mass-conserve control totals and quantify allocation assumptions.,M5,S2-S3,AC05;AC21;AC22,PARTIAL,src/floodguard/evidence_age_surface.py; scripts/build_worldpop_age_review.py; scripts/bridge_worldpop_age_access.py; docs/proposal_execution/mae_sai_age_access_sensitivity.md,Project Support/FloodGuard/execution/2026-09-23/worldpop-age-mae-sai-2024-1km-v1/age_review.json; Project Support/FloodGuard/open-data/2026-09-23-worldpop-age-2025-r2025a-1km-ua/acquisition_manifest.json; Project Support/FloodGuard/research-runs/2026-09-23-mae-sai-age-access-v2/run_receipt.json,2024/2025 20-band 1km acquisitions PASS; Mae Sai age bridge/equity/surface: 23 passed,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,"Mixed-vintage scenario bridge is complete (output SHA256 64724bce08dcef13297f4b8fa6915218deedcd4ef07db61d736700046daeabb0); measured controls, product-specific derivative rights, missing support and accepted event equity remain unresolved."
R11,Road-flood interaction and passability,"10-11,22-23",Finals core,Scenario implemented / reality unverified,"Review consequential intersections, bridges and road levels; distinguish exposure, imposed closure and observed closure.","M4,M7",S2-S3,AC16;AC20,PARTIAL,docs/proposal_execution/lower_basin_context.md; docs/proposal_execution/hat_yai_transfer.md,Project Support/FloodGuard/research-runs/2026-09-23-lower-basin-context-v1/run_manifest.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/study_finals/aoi-05_chao_phraya_bang_ban_sena/build_receipt.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/study_finals/aoi-06_chao_phraya_rangsit/build_receipt.json,tests/test_lower_basin_context.py and related context tests: 38 passed,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,10 km fixed-roster scenario intersection is computed; consequential link/grade review and observed passability remain absent.
R12,15/30/60-minute normal/disrupted access,"5-6,10-11,19",Foundation / core,Implemented with input limits,"Qualify travel mode, restrictions, context and connectors; retain baseline and new-loss denominators.","M4,M7",S2-S3,AC16;AC18;AC19;AC20;AC31,PARTIAL,src/floodguard/access.py; docs/proposal_execution/lower_basin_context.md,Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/study_finals/aoi-05_chao_phraya_bang_ban_sena/build_receipt.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/study_finals/aoi-06_chao_phraya_rangsit/build_receipt.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/rebuilt-export-verification-v4.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/repository-public-copy-receipt.json,Corrected 10 km walking/modelled-vehicle finals and fixed demand rosters rehashed; independent eight-case export verifier PASS and 24/24 repository files rehashed,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,Candidate route/export computation passed; consequential destination/connector/grade and observed passability review pending.
R13,Verified hospital and primary-care destinations,"10-11,21",Finals core,Partial,"Review identity, service capability, entrances and dated operation; clinics/pharmacies cannot substitute for hospitals.",M4,S2-S3,AC05;AC17,PARTIAL,docs/proposal_execution/lower_basin_context.md; docs/proposal_execution/UNRESOLVED.md,Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/study_finals/aoi-05_chao_phraya_bang_ban_sena/hospital_duplicate_review.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/study_finals/aoi-06_chao_phraya_rangsit/hospital_duplicate_review.json,10 km OSM hospital-object duplicate review included in corrected AOI-05/06 finals; map-object decision only,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,"Mapped-object duplicates resolved for release context; dated role, operation and surveyed entrance remain unverified."
R14,Verified shelter service and access,"21,27-31",Finals core,Blocked,Require supported shelter role/location/entrance/effective interval; keep unavailable until enough qualifying evidence exists.,"M4,M6",S2-S3,AC05;AC17,BLOCKED,docs/proposal_execution/UNRESOLVED.md; docs/proposal_execution/2sfca_method.md,,,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,"Shelter activation, usable capacity, role, entrance and rights are unavailable."
R15,Main-road access as a distinct service,"10-11,31",Finals core,Not demonstrated in current case,Define legitimate target network and reachability metric; avoid treating an arbitrary road node as a safe outlet.,"M4,M7",S2-S3,AC18,PARTIAL,src/floodguard/access.py; docs/proposal_execution/scoring_sensitivity.md,,,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,Main-road candidate service lacks accepted closure and access evidence.
R16,Equity difference in percentage points,"5-6,23",Finals core,Implementation gap,"Return 100*(group loss rate - comparison loss rate), with compatible counts and tests; distinguish difference from ratio.",M5,S7,AC23;AC24,PASS,src/floodguard/equity.py; tests/test_equity.py,Project Support/FloodGuard/research-runs/2026-09-23-mae-sai-age-access-v2/age_access_sensitivity.json,equity v2 targeted suite: 45 passed,,Implementation lead; independent authority where required,,Mathematical function passed; accepted event equity still requires qualified group access and coverage.
R17,Equity ratio and zero-denominator semantics,"5-6,19",Finals core,Partial / convention conflict,"Resolve both-zero ratio=1 versus proposal undefined; show zero losses, denominator and explicit undefined status.",M5,S7,AC23;AC24,PASS,src/floodguard/equity.py; tests/test_equity.py,Project Support/FloodGuard/research-runs/2026-09-23-mae-sai-age-access-v2/age_access_sensitivity.json,equity v2 targeted suite: 45 passed,,Implementation lead; independent authority where required,,Mathematical function passed; accepted event equity still requires qualified group access and coverage.
R18,Capacity-aware 2SFCA,"10-11,21,24",Conditional,Not demonstrated,Build validated catchment supply-demand accessibility only when capacity/status/mode qualify; maximum flow is a different measure.,M6,S9,AC27,PARTIAL,src/floodguard/two_step_access.py; docs/proposal_execution/2sfca_method.md,,tests/test_two_step_access.py: 13 passed (hypothetical fixture),Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,Scenario 2SFCA only; verified dated supply/service and eligibility absent.
R19,Shelter demand and nonduplicating allocation,"21,28,33",Conditional,Scenario allocator implemented,Qualify demand basis and facility capacity or mark assumptions; reconcile reachable/unreachable/unknown/unmet partitions.,M6,S9,AC25;AC26,PARTIAL,src/floodguard/evidence_scenarios.py; docs/proposal_execution/2sfca_method.md,,existing maximum-flow scenario tests; real shelter supply not verified,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,Hypothetical allocation only; real demand participation and shelter capacity absent.
R20,FPPS five-component score,"11,19,26",Foundation / core,Engine implemented; accepted input incomplete,Bind all normalized components to one reporting frame; keep nulls and low-confidence E; no silent weight redistribution.,M7,"S4,S6",AC15;AC28;AC33,BLOCKED,src/floodguard/scoring.py; docs/proposal_execution/scoring_sensitivity.md,,,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,Likelihood and vulnerability absent; never fill/reweight missing components; downstream acceptance absent.
R21,Adjustable weights and rank stability,"11,19,26,34",Core output,Backend implemented / UI claim not established,Expose governed review scenarios or revise presentation claim; save exact weights and rankings with unchanged default weights.,"M7,M8","S6,S11",AC29,PARTIAL,scripts/scoring_sensitivity.py; docs/proposal_execution/scoring_sensitivity.md,Project Support/FloodGuard/execution/2026-09-23/mae-sai-scoring-sensitivity-v1,tests/test_scoring_sensitivity.py: 14 passed; Mae Sai two-mode stress output,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,Stress weights are scenario-only; accepted component inputs and rank stability absent.
R22,Action classes with explanations,"11,26-27",Foundation / core,Engine implemented / conditional input,Trace A-E to supported components and rule reason; do not present scenario E as an accepted event judgement.,"M7,M8","S4,S6",AC15;AC29;AC33,PARTIAL,src/floodguard/scoring.py; scripts/scoring_sensitivity.py,,tests/test_scoring_sensitivity.py: exact policy boundary and low-confidence E checks,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,"Policy tests pass, but accepted A-E class remains null without full downstream gate."
R23,Joint uncertainty ensemble,22-24,Core methodology,Partial,"Combine justified input scenarios; report population/equity ranges, rank bounds, class retention and dominant assumption.",M7,"S2-S3,S11",AC30,PARTIAL,scripts/scoring_sensitivity.py; docs/proposal_execution/scoring_sensitivity.md,Project Support/FloodGuard/execution/2026-09-23/mae-sai-scoring-sensitivity-v1,tests/test_scoring_sensitivity.py: bounded joint/one-axis stress checks,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,Finite scenario stress is not calibrated uncertainty or accepted rank interval.
R24,Downstream validation against reference,22-23,Finals core,Blocked / not demonstrated,"Evaluate exposure, road review, access-loss error, equity direction and ranking/class stability independently of generation heuristic.","M3,M7",S5,AC12;AC30,BLOCKED,docs/proposal_execution/REVIEW_PACKAGE.md; docs/proposal_execution/scoring_sensitivity.md,,,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,No qualified independent reference or accepted downstream truth.
R25,Public Thai-first preparedness experience,"7,27",Foundation / product,Implemented shell; evidence-dependent services,"Verify current published scope, mobility behavior and confirmed-shelter policy; keep rehearsal distinct from emergency navigation.","M8,M13","S8,S12",AC32;AC34;AC35;AC36;AC37,PARTIAL,apps/web/src/app/public/page.tsx; apps/web/public/public-case-projections/catalog.json,apps/web/public/public-case-projections/catalog.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/live-preview-qa.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/cleanup-release-receipt.json,"Exact-code frontend/profile/browser PASS; Public Home compact study entry and /public-cases/ detail, ten-route anonymous Preview, 9/9 OSM tiles, synthetic geolocation and geocoder suggestions verified; public-production zero proposal evidence assets.",Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,Real nontechnical readability and authority-confirmed shelter/route information remain unavailable; Public stays non-operational candidate.
R26,Command vulnerable-first queue and comparisons,28,Finals product,Partial,Wire qualified age exposure/equity/capacity to rankings; remove obsolete comparator ambiguity and document scenario eligibility.,M5-M8,S11-S12,AC32;AC35;AC37,PARTIAL,apps/web/src/app/command/page.tsx; apps/web/public/public-case-projections/catalog.json,Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/live-preview-qa.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/cleanup-release-receipt.json,"Exact-code Planning overview, compact route comparison and separate historical archive passed bounded browser/mobile checks; Hat Yai case identity retained into Studio; candidate accepted FPPS, age equity and capacity remain null.",Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,"Qualified age exposure/equity/capacity, consequential road/service review and independent decision authority remain missing."
R27,Studio evidence and error review,"20,29",Foundation,Implemented with acceptance gaps,Preserve named blockers; publish current-run error strata and promotion receipts only when actually qualified.,"M3,M8","S5,S8",AC32;AC35,PARTIAL,apps/web/src/app/studio/page.tsx; apps/web/src/app/studio/brief/page.tsx,Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/live-preview-qa.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/cleanup-release-receipt.json,"Exact-code Studio validation report, brief, library and historical archive returned anonymous HTTP 200; selected package/context links and blocker states passed bounded browser checks.",Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,"Qualified event reference, independent current-run error strata and promotion decisions are absent; package integrity is not acceptance."
R28,Bilingual printable one-page decision brief,"11,29,31",Finals core,Partial / candidate brief works,"Generate authoritative Thai/English priority, drivers, denominator, intervention and uncertainty from the same package.",M8,"S8,S12",AC36;AC38,PARTIAL,apps/web/scripts/build-case-briefs.mjs; apps/web/public/briefs/catalog.json,apps/web/public/briefs/catalog.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/download-alignment.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/cleanup-release-receipt.json,Exact-code 64 brief selections/downloads passed; all three catalogs and 16 bilingual HTML/PDF files were byte-identical between Preview and offline ZIP (19/19); eight one-page PDF layouts retained.,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,Accepted authoritative priority remains unavailable and nontechnical comprehension has not been recorded; current briefs are candidate-only.
R29,Controlled scenario identities and API contract,"7,13-14,28",Foundation / product,Implemented static scenarios / service expansion pending,Preserve exact input/hash/selection identities; operational update/API path requires separate tested deployment and authorization.,"M8,M13",S8,AC33,PARTIAL,scripts/build_public_case_projections.py; apps/web/public/public-case-projections/catalog.json,apps/web/public/public-case-projections/catalog.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/live-preview-qa.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/cleanup-live-577500c1/cleanup-release-receipt.json,Exact-code case/version/scenario/origin deep links passed bounded browser; Hat Yai aoi/event/version remained stable Planning-to-Studio; projection catalog SHA 041562b2870f2c970d9d2b0a9f34f5207ca3a05d7fe3149e5a027c7a3ce49771.,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,,Accepted-result ingress remains unexercised without genuine downstream receipt; operational update/API path needs separate authorization and deployment.
