id,milestones,proposal_requirements,judging_weight_percent,topic,pass_criterion,required_evidence,status,receipt,last_verified_sha,implementation_path,test,review_decision,owner,remaining_blocker
AC01,M0,"R01,R30",All,Source and workspace,Current remote/ref/worktree/AGENTS status recorded; ordinary checkout and unrelated dirt preserved.,Git state and baseline drift receipt,PASS,Project Support/FloodGuard/execution/2026-09-23/public-source-inventory.json,,docs/proposal_execution/STATUS.md; scripts/verify_public_source_inventory.py,All 34 handoff SHA entries; 23 manifest entries; 15 baseline blobs; 363 public source files verified,,Implementation lead; independent authority where required,
AC02,M0,"R01,R40",25,Claim registry,"Every headline identifies package, role, scope and source; stale comparators explicitly separate.",Claim-to-source registry,PARTIAL,,,docs/proposal_execution/CLAIMS.md,,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,Update numbers and identities if case packages are rebuilt; final release claim freeze pending.
AC03,M1,"R01,R39",35,Immutable source identity,"Reopen input bytes, verify hashes, parents and dates; reject unsafe paths, swapped bytes and mixed contexts.",Source verification and adversarial tests,PARTIAL,Project Support/FloodGuard/execution/2026-09-23/public-source-inventory.json,,scripts/verify_public_source_inventory.py; scripts/build_public_case_projections.py,5 source-inventory/projection tests; current external source inventory hash pass,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,New active processing and accepted chain need final package/hash/adversarial audit.
AC04,M1,"R04,R39",35,Purpose permissions,Each use purpose has exact support or unresolved status; source processing never implies labels/validation/publication.,Rights/purpose matrix with supporting documents,PARTIAL,,,docs/proposal_execution/SOURCES_AND_RIGHTS.md; docs/proposal_execution/REVIEW_PACKAGE.md,,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,Product-specific derivative and reference validation/ML rights remain unresolved.
AC05,M1,"R04,R10,R13,R14",All,Public acquisition,Bounded attempts and alternatives logged; missing data retained; no private export dependency.,Gap register,PARTIAL,Project Support/FloodGuard/open-data/2026-09-23-worldpop-age-2024-r2025a-1km-ua/acquisition_manifest.json,,scripts/acquire_worldpop_age.py; docs/proposal_execution/SOURCES_AND_RIGHTS.md,Official exact-year 2024 and 2025 1km_ua 20-band acquisition manifests PASS; separate 100m attempt partial,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,100 m age attempt incomplete; no private export dependency. Product-specific hosted derivative rights and source suitability still need review.
AC06,M2,"R02,R08",35,Actual preprocessing,"SAFE/orbit/DEM/auxiliary/version/grid identities bound; actual Gamma0/Sigma0, speckle and datum decisions documented.",Processing receipt and QA maps,PARTIAL,FloodGuard_external_data/proposal_execution/mae_sai_2024_gamma0_otsu_v1_20260923r3/candidate_receipt.json,,docs/proposal_execution/geoai_method.md; resources/snap/sentinel1_grd_rtc_v1.xml,original SAFE/DEM rehashed; existing July SNAP receipts reopened,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,Physical Gamma0 path differs from literal Sigma0/speckle proposal; no new accepted observation.
AC07,M2,"R02,R03",35,Geometric/radiometric QC,"Alignment residuals, validity, nodata/zero elevation, terrain/urban/permanent-water effects inspected.",QA measurements and exclusions,PARTIAL,FloodGuard_external_data/proposal_execution/mae_sai_2024_gamma0_otsu_v1_20260923r3/candidate_receipt.json,,docs/proposal_execution/geoai_method.md; src/floodguard/label_factory/sentinel1_processing.py,registration residual 0.138392 pixel over 50 windows; 81-window abstention; lowland DEM unresolved,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,DEM EGM96/EGM2008 approximation and zero-value lowland issue; no independent geodetic truth.
AC08,M2,R03,35,Threshold baseline,Adaptive threshold parameters and failure behavior prespecified; no outcome-driven road/population tuning.,Threshold method configuration and sparse/unimodal tests,PASS,FloodGuard_external_data/proposal_execution/mae_sai_2024_gamma0_otsu_v1_20260923r3/candidate_receipt.json,,src/floodguard/label_factory/sentinel1_processing.py; scripts/build_sentinel1_threshold_baseline.py,targeted threshold tests; 81/81 real windows abstained under frozen exploratory rule,,Implementation lead; independent authority where required,
AC09,"M2,M3","R04,R09","40,35",Observation meaning,UTC/local dates and footprint explicit; unobserved/invalid/dry/empty distinct; September question not inferred from October.,Observation contract and spatial/temporal tests,PARTIAL,,,docs/proposal_execution/geoai_method.md; docs/proposal_execution/CLAIMS.md,pre/post UTC 3/15 September and footprint/abstention documented,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,No September-only independent flood reference; candidate abstention and prior amplitude comparator distinct.
AC10,M3,"R04,R05",35,Independent reference,"Exact purpose, timing, coverage, independence and rights qualified; human review real and attributable if used.",Qualified reference/review chain or precise blocker,BLOCKED,,,docs/proposal_execution/REVIEW_PACKAGE.md; docs/proposal_execution/UNRESOLVED.md,,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,Named Reference Authority/source and independent reviewers with exact-purpose rights not yet supplied.
AC11,"M3,M11","R05,R06,R07",35,Partition/custody authority,"Five qualified independent events, four roles and real custody required by existing real programme; synthetic fixtures cannot seal it.",Loader/custody tests and actual signed evidence when supplied,BLOCKED,,,src/floodguard/label_factory/multi_event_preflight.py; docs/proposal_execution/ml_authorization.md,synthetic file-backed preflight tests only; no real custody,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,"No five independent qualified real events, four-role partition assignments or real custody keys."
AC12,"M3,M11","R05,R24",35,Frozen evaluation,Metrics/strata/selection/calibration/acceptance criteria predeclared by proper reviewers; final holdout opened only as authorized.,Signed plan and opening/consumption receipt,BLOCKED,,,src/floodguard/label_factory/holdout_opening.py; docs/proposal_execution/ml_authorization.md,synthetic Ed25519 replay/expiry tests only; no real holdout opening,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,"No independent frozen plan, acceptance thresholds or authorized holdout opening."
AC13,M11,"R06,R07",35,Model-family contract,Existing three-model family contract preserved or explicitly versioned/approved; no backdoor experiment.,Method decision and contract compatibility tests,PARTIAL,Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/geoai-research-resolved-py312.txt,,docs/proposal_execution/ml_authorization.md; src/floodguard/label_factory/multi_event_preflight.py,Existing synthetic family/preflight tests only; frozen optional dry-run 292 packages and research Python 3.12 compile 293 pins PASS with no install/experiment,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,"Real model-family method decision, qualified events and independent authorization absent; resolution is not an experiment."
AC14,M11,"R06,R07","35,40",Useful GeoAI comparison,"Eligible models compared on frozen observation and downstream outcomes, calibration/coverage and compute; weakest model may be rejected.","Model cards, metrics, runtime and report-only selection",BLOCKED,,,docs/proposal_execution/ml_authorization.md,,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,Five-event authorization/qualified holdout absent; no learned run or downstream comparison.
AC15,"M3,M7","R20,R22",35,Separate downstream acceptance,Qualified labels/evaluation or candidate selection alone cannot populate accepted decisions.,Downstream receipt validation and negative tests,BLOCKED,,,docs/proposal_execution/REVIEW_PACKAGE.md; docs/proposal_execution/scoring_sensitivity.md,,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,Separate downstream acceptance receipt and five qualified FPPS components absent.
AC16,M4,"R11,R12",40,Consequential topology,"Review high-demand cuts/components, grade/border/barrier effects; corrections evidence-backed with before/after population reconciliation.",Connectivity review and graph tests,PARTIAL,,,docs/proposal_execution/lower_basin_context.md; docs/proposal_execution/lower_basin_release_path.md,"lower-basin 5/10/15 km comparison and Hat Yai closure stress, not link review",Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,Consequential topology/grade/cut/entrance decisions not yet reviewed in rebuilt case packages.
AC17,M4,"R13,R14",40,Facility semantics,"Identity, role, location, entrance, effective period and capacity supported separately; pharmacies never satisfy hospital/shelter.",Facility register and service-filter tests,PARTIAL,Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/study_finals/aoi-05_chao_phraya_bang_ban_sena/hospital_duplicate_review.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/study_finals/aoi-06_chao_phraya_rangsit/hospital_duplicate_review.json,,docs/proposal_execution/lower_basin_context.md; docs/proposal_execution/UNRESOLVED.md,10 km OSM hospital-object identity review is bound to corrected finals; not a service-capability verification,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,"Dated operation, role, surveyed entrance and usable capacity missing for facilities."
AC18,M4,"R12,R15",40,Mode and target service,Walking/vehicle/main-road service definitions explicit; connector rules and unsupported restrictions disclosed.,Service/mode contract and reachability tests,PARTIAL,Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/study_finals/aoi-05_chao_phraya_bang_ban_sena/build_receipt.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/study_finals/aoi-06_chao_phraya_rangsit/build_receipt.json,,src/floodguard/access.py; docs/proposal_execution/lower_basin_context.md,Corrected AOI-05/06 finals bind separate walking and modelled-vehicle context hashes and original demand roster,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,"Mode contexts are computed; restrictions, destination/connector validation and separate main-road acceptance remain."
AC19,"M4,M10","R12,R32",40,Routing context convergence,Expand context without expanding reporting demand; nearby source objects deduplicated; exclusions and boundary effects measured.,Context sensitivity and destination inventory,PARTIAL,Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/study_finals/aoi-05_chao_phraya_bang_ban_sena/build_receipt.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/study_finals/aoi-06_chao_phraya_rangsit/build_receipt.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/rebuilt-export-verification-v4.json; Project Support/FloodGuard/execution/2026-09-23/proposal-release-staging-v1/qa/repository-public-copy-receipt.json,,scripts/compare_lower_basin_context.py; docs/proposal_execution/lower_basin_release_path.md,"Fixed 20,677/17,083 demand cells; corrected 10 km two-mode finals; independent export verifier and 24/24 repository copy PASS",Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,"Context convergence computation passed; consequential connector, grade and service review pending."
AC20,"M4,M7","R11,R12",40,Disruption meaning,Flood overlap is an imposed closure/penalty unless dated observations support closure; bridges and outside-footprint assumptions visible.,Road evidence/closure manifest,PARTIAL,,,docs/proposal_execution/hat_yai_transfer.md; docs/proposal_execution/lower_basin_context.md,Hat Yai any/20m/50m closure sensitivity; no observed passability,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,Flood intersection is modelled closure; bridge passability/unknown outside footprint not observed.
AC21,M5,"R09,R10","40,35",Compatible population,"Year, age bands, codes, registration basis and spatial level reconciled; modeled allocations labelled.",Population manifest/crosswalk/quality findings,PARTIAL,Project Support/FloodGuard/execution/2026-09-23/worldpop-age-mae-sai-2024-1km-v1/age_review.json; Project Support/FloodGuard/research-runs/2026-09-23-mae-sai-age-access-v2/run_receipt.json,,scripts/build_worldpop_age_review.py; src/floodguard/evidence_age_surface.py; scripts/bridge_worldpop_age_access.py; docs/proposal_execution/mae_sai_age_access_sensitivity.md,2024/2025 1km 20-band sources verified; Mae Sai age bridge/equity/surface: 23 passed,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,"Mixed-vintage 2024 ages on 2020 routing nodes is scenario only; compatible measured controls, rights and historical access unavailable."
AC22,M5,"R09,R10","40,35",Mass conservation,Whole-unit controls applied before clipping; zero support and unknown coverage not invented; counts conserve across partitions.,Mass-balance tests and coverage table,PARTIAL,Project Support/FloodGuard/execution/2026-09-23/worldpop-age-mae-sai-2024-1km-v1/age_review.json; Project Support/FloodGuard/research-runs/2026-09-23-mae-sai-age-access-v2/source_cell_ledger.json,,src/floodguard/evidence_age_surface.py; docs/proposal_execution/SOURCES_AND_RIGHTS.md; scripts/bridge_worldpop_age_access.py,"Projected fractional cell allocation, unsupported mass and unallocated mass tracked; 23 bridge/equity/surface tests passed",Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,"Scenario conservation is checked, but 4.0958 km2 selected intersection lacks common valid age support and accepted controls/coverage decision is absent."
AC23,M5,"R16,R17","40,35",Equity mathematics,Full-precision rates; difference in percentage points; zero comparison rate -> null ratio; valid both-zero difference=0.,Formula tests and consumer migration,PASS,,,src/floodguard/equity.py; tests/test_equity.py,equity v2 targeted suite: 45 passed,,Implementation lead; independent authority where required,
AC24,M5,"R16,R17",35,Equity edge cases,Nonfinite/negative/impossible counts rejected; group definitions and denominators explicit; unknown-access counts and partial-coverage bounds shown; accepted comparison needs declared coverage; reasons persist.,Edge-case tests and JSON/UI/export round trips,PASS,Project Support/FloodGuard/research-runs/2026-09-23-mae-sai-age-access-v2/age_access_sensitivity.json,,src/floodguard/equity.py; tests/test_equity.py; scripts/bridge_worldpop_age_access.py; docs/proposal_execution/mae_sai_age_access_sensitivity.md,"23 bridge/equity/surface tests passed; full precision, null 0/0 ratios, missing-access bounds",,Implementation lead; independent authority where required,
AC25,M6,R19,40,Demand basis,Residential/exposed/participation/reachable/assigned populations distinct and scenario/site identities match access example.,Demand specification and reconciliation,PARTIAL,,,src/floodguard/evidence_scenarios.py; docs/proposal_execution/2sfca_method.md,hypothetical allocation/2SFCA fixtures only,Independent scientific/product acceptance not granted,Implementation lead; independent authority where required,"Real participation, service role, accessible demand and site capacities not established."
