source_name,source_group,study_area,source_url,data_or_product_type,candidate_role,access_route,license_status,geometry_status,redistribution_status,can_use_for_validation,can_use_for_ml_labels,download_action,repo_storage,processing_scope,confidence_class,blocker,next_action,retrieved_at_utc
Copernicus Sentinel-1 via CDSE,cdse_sentinel1,Chiang Rai / Mae Sai 2024; Hat Yai / Songkhla 2025,https://dataspace.copernicus.eu/data-collections/copernicus-sentinel-missions/sentinel-1,open SAR source imagery,real pre/post SAR baseline source and later ML feature input,CDSE OData metadata now; authenticated asset download later if selected,open_sentinel_data_legal_notice,source_imagery_available_after_product_download,source_products_stay_outside_git,no_not_a_reference_mask,no_not_label_source,metadata snapshot now; asset download only to external data workspace,metadata_csv_only_no_SAFE_or_TIFF_assets,open_source_feature_generation_after_file_manifest_gates,high,"needs selected product download, local path, checksum, and legal reference mask",query CDSE metadata profiles and lock pre/post pair against reference date,2026-07-08T05:47:15Z
Copernicus Sentinel-2 via CDSE,cdse_sentinel2,Chiang Rai / Mae Sai 2024; Hat Yai / Songkhla 2025,https://dataspace.copernicus.eu/terms-and-conditions,open optical source imagery,"optical context, cloud-screened exposure context, future optical features",CDSE OData metadata now; authenticated asset download later if selected,open_sentinel_data_legal_notice,source_imagery_available_after_product_download,source_products_stay_outside_git,no_not_a_reference_mask,no_not_label_source,metadata snapshot now; asset download only to external data workspace,metadata_csv_only_no_SAFE_or_TIFF_assets,open_optical_context_after_file_manifest_gates,medium,cloud cover and no flood-label geometry; not suitable as validation mask,query Sentinel-2 profiles and use only as optical context unless labels are acquired,2026-07-08T05:47:15Z
Copernicus EMS Rapid Mapping EMSR754,cems_rapid_mapping,Thailand flood candidate,https://mapping.emergency.copernicus.eu/activations/EMSR754/,rapid mapping activation,public flood extent reference candidate if AOI/date/product coverage matches,public activation viewer; exact product links require viewer/API product inspection,public_cems_terms_subject_to_restrictions,activation_public_exact_geometry_not_selected,potentially_redistributable_subject_to_cems_terms,potential_after_exact_product_coverage_and_terms_review,not_cleared_for_ml_labels_until_product_terms_reviewed,record activation metadata now; download exact products only after review,activation_metadata_only_no_product_zip_or_geotiff,reference_candidate_metadata_only,medium,"exact downloadable product, AOI overlap, and date fit not locked",inspect CEMS viewer/backend for AOI products and record product-level rows,2026-07-08T05:47:15Z
Copernicus EMS Rapid Mapping EMSR756,cems_rapid_mapping,Thailand flood candidate,https://mapping.emergency.copernicus.eu/activations/EMSR756/,rapid mapping activation,public flood extent reference candidate if AOI/date/product coverage matches,public activation viewer; exact product links require viewer/API product inspection,public_cems_terms_subject_to_restrictions,activation_public_exact_geometry_not_selected,potentially_redistributable_subject_to_cems_terms,potential_after_exact_product_coverage_and_terms_review,not_cleared_for_ml_labels_until_product_terms_reviewed,record activation metadata now; download exact products only after review,activation_metadata_only_no_product_zip_or_geotiff,reference_candidate_metadata_only,medium,"exact downloadable product, AOI overlap, and date fit not locked",inspect CEMS viewer/backend for AOI products and record product-level rows,2026-07-08T05:47:15Z
Sentinel Asia Northern Thailand 2024 event page,sentinel_asia_event,Chiang Rai / Mae Sai 2024,https://sentinel-asia.org/EO/2024/article20240910TH.html,public event products and maps,"public event evidence, possible weak reference if file geometry and terms allow",public page with direct product links; requester-only Web-GIS remains restricted,public_page_terms_need_product_level_review,public_links_visible_exact_geometry_varies_by_product,unresolved_product_level,needs_file_type_geometry_and_license_review,not_cleared_for_ml_labels,scrape public links only; do not use requester-only Web-GIS or raw restricted imagery,metadata_csv_only_no_product_zip_or_image_assets,event_evidence_and_possible_reference_candidate_metadata_only,medium,product-level license and geometry type need inspection before validation use,review scraped product rows and select only legally usable GIS geometry if present,2026-07-08T05:47:15Z
UN Thailand Mae Sai public report page,unosat_public_report,Chiang Rai / Mae Sai 2024,https://thailand.un.org/en/280291-satellite-detected-water-extents-13-19-september-2024-over-mea-sai-district-chiang-rai,public report page,"external citation, exposed-population sanity check, area target",public web report,public_report_terms_not_gis_mask_license,report_only_no_downloaded_vector_mask,public_page_citation_only,no_report_only,no_report_only_not_labels,store source URL and summary only,metadata_and_doc_reference_only,citation_and_sanity_check_only,medium,public report is not a redistributable validation mask,use as narrative and sanity check unless GIS geometry terms are obtained,2026-07-08T05:47:15Z
UNOSAT product 3991,unosat_public_report,Chiang Rai / Mae Sai 2024,https://unosat.org/products/3991,public product page/report,reference-mask target if geometry and terms become available,public product page; GIS geometry not exposed in browser DOM during inspection,public_report_terms_not_gis_mask_license,report_only_geometry_unresolved,unresolved,no_until_geometry_terms_confirmed,no_until_ml_label_terms_confirmed,store product id and URL only,metadata_and_doc_reference_only,reference_target_metadata_only,medium,geometry access and derivative-use terms remain unresolved,wait for provider response or find public GIS download with explicit terms,2026-07-08T05:47:15Z
NASA MODIS/VIIRS NRT Global Flood Products,nasa_nrt_flood,Chiang Rai / Mae Sai 2024; Hat Yai / Songkhla 2025,https://www.earthdata.nasa.gov/data/instruments/viirs/near-real-time-data/nrt-global-flood-products,coarse global flood product,coarse public flood proxy and temporal sanity check,Earthdata registration may be required for downloads,public_nasa_earthdata_access_with_account,coarse_raster_available_after_earthdata_download,source_products_stay_outside_git,coarse_context_only_not_subdistrict_validation,not_primary_ml_labels_for_road_subdistrict_scale,metadata row now; download only to external data workspace if needed,metadata_csv_only_no_raster_assets,coarse_flood_context_after_file_manifest_gates,medium,250m-class product is too coarse for road/subdistrict validation claims,"use for independent temporal/context check, not final labels",2026-07-08T05:47:15Z
WorldPop Thailand 100m,worldpop_population,Thailand,https://hub.worldpop.org/geodata/summary?id=6439,population raster,exposure and reachable-demand denominator,public web download and metadata review,generally_cc_by_4_0_with_dataset_specific_terms,population_raster_available_after_download,source_products_stay_outside_git,no_context_denominator_not_flood_mask,no_not_flood_labels,metadata row now; download selected population layer outside Git,metadata_csv_only_no_raster_assets,exposure_context_after_file_manifest_gates,high,dataset year/version and license text must be recorded when selected,select population year and add path/checksum in file manifest,2026-07-08T05:47:15Z
OpenStreetMap Thailand via Geofabrik,osm_geofabrik,Thailand,https://download.geofabrik.de/asia/thailand.html,OSM extract,"roads, bridges, facilities, routing graph candidate",public Geofabrik extracts under ODbL,odbl_1_0,vector_extract_available_after_download,odbl_share_alike_obligations,no_context_network_not_flood_mask,no_not_flood_labels,metadata row now; download extract outside Git when routing lane starts,metadata_csv_only_no_osm_pbf_assets,road_and_facility_context_after_file_manifest_gates,high,OSM completeness varies; ODbL obligations must be respected,use for prototype road graph then compare with official local sources if available,2026-07-08T05:47:15Z
