facility_id,facility_type,amenity,facility_name,node_id,snap_distance_m,subdistrict_id,subdistrict_name,source_name,source_timestamp,confidence_class,assumptions
OSM-11566575669,shelter_candidate,shelter,,N-99.8263449-20.3509882,3.2,TH570909,Pong Ngam,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-13325258501,school,school,โรงเรียนสอนคนตาบอดแม่สาย,N-99.9888360-20.3654036,15.3,TH570905,Si Mueang Chum,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-13327552901,emergency_service,police,ตำรวจหน่วยบริการประชาชนบายพาส,N-99.9146365-20.4101958,54.4,TH570901,Mae Sai,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-13334892601,community_facility,community_centre,ศูนย์ปฏิบัติการ ชรบ.อพปร.บ้านผาหมี,N-99.8469693-20.3988893,10.4,TH570906,Wiang Phang Kham,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-13334924301,community_facility,community_centre,ศูนย์ชุมชนบ้านผาหมี,N-99.8510431-20.3995119,13.7,TH570906,Wiang Phang Kham,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-13334942801,healthcare,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านผาหมี,N-99.8522137-20.3987240,41.8,TH570906,Wiang Phang Kham,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-13337290901,community_facility,community_centre,ศูนย์การเรียนรู้ชาวไทยภูเขาบ้านเผาฮี้,N-99.8275302-20.3506056,7.2,TH570909,Pong Ngam,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-13441903001,emergency_service,police,Tourist Police,N-99.8811428-20.4415932,62.9,TH570901,Mae Sai,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-13444489401,healthcare,pharmacy,พรประภาเภสัช,N-99.8833631-20.4413340,10.2,TH570901,Mae Sai,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-1485439457,shelter_candidate,shelter,,N-99.8252509-20.3524378,11.0,TH570909,Pong Ngam,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-2174005761,school,school,โรงเรียนบ้านห้วยไคร้,N-99.8613666-20.2760457,44.4,TH570902,Huai Khrai,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-2174059464,healthcare,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล,N-99.8644408-20.2774690,64.4,TH570902,Huai Khrai,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-2174067529,school,school,โรงเรียนบ้านโป่ง,N-99.8813533-20.3134485,46.4,TH570909,Pong Ngam,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-2174080832,healthcare,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล,N-99.8814552-20.3173403,27.4,TH570909,Pong Ngam,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-2193400988,healthcare,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล,N-99.8854127-20.3671336,16.3,TH570904,Pong Pha,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-2193414929,school,school,โรงเรียนบ้านน้ำจำ,N-99.8856847-20.3870796,25.8,TH570904,Pong Pha,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-2193469978,emergency_service,police,,N-99.8833688-20.4261649,27.7,TH570906,Wiang Phang Kham,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-2207472330,school,school,โรงเรียนบ้านสันถนน,N-99.9523415-20.3823343,51.6,TH570905,Si Mueang Chum,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-2207495991,school,school,โรงเรียนบ้านสันธาตุ,N-99.9672040-20.3664245,30.6,TH570905,Si Mueang Chum,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-2207495993,emergency_service,police,,N-99.9582832-20.3698712,27.9,TH570905,Si Mueang Chum,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-3218696030,school,school,,N-99.8517426-20.3990452,18.6,TH570906,Wiang Phang Kham,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-4526416790,shelter_candidate,shelter,ไร่บ่าวน้อย,N-99.8752858-20.3790744,65.1,TH570904,Pong Pha,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
OSM-5041556226,shelter_candidate,shelter,,N-99.8899724-20.4257346,50.3,TH570901,Mae Sai,OpenStreetMap Thailand via Geofabrik,2026-07-09T14:53:08Z,low,OSM-tagged candidate facility; not verified as an official emergency shelter or currently operating service.
