source_name,file_name,local_path_hint,asset_scope,container_name,entry_kind,library_group,candidate_use,file_size_bytes,file_size_gb,zip_member_count,zip_total_uncompressed_bytes,acquisition_date,acquisition_time_utc,processing_level,sensor_product,tile_id,sequence_id,raster_width,raster_height,raster_count,raster_dtypes,band_descriptions,crs,bbox_lon_min,bbox_lat_min,bbox_lon_max,bbox_lat_max,mvp_overlap,license_status,sha256_status,processing_allowed,reason_blocked,library_notes
Hackathon-provided Sentinel-1 Thailand raster,drive-download-20260705T102948Z-3-001.zip,<input_dir>/drive-download-20260705T102948Z-3-001.zip,local_file,,zip_package,sentinel1_sar,candidate Sentinel-1 SAR context after extraction and checksum review,1968479934,1.968,5,2095731495,,,,,,,,,,,,,,,,,unknown_no_bbox,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,"Sentinel-1 file is cataloged as provided data; acquisition timing is not locked from filename, so it is not yet a real pre/post flood pair."
Hackathon-provided Copernicus DEM Thailand raster,drive-download-20260705T104354Z-3-001.zip,<input_dir>/drive-download-20260705T104354Z-3-001.zip,local_file,,zip_package,copernicus_dem,candidate elevation/slope context for flood false-positive review and exposure explanation,1868769341,1.869,4,1942653876,,,,,,,,,,,,,,,,,unknown_no_bbox,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,"DEM/elevation-slope package is context data, not a flood observation or label."
Hackathon-provided Copernicus DEM Thailand raster,drive-download-20260705T104354Z-3-002.zip,<input_dir>/drive-download-20260705T104354Z-3-002.zip,local_file,,zip_package,copernicus_dem,candidate elevation/slope context for flood false-positive review and exposure explanation,729752093,0.73,3,773427035,,,,,,,,,,,,,,,,,unknown_no_bbox,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,"DEM/elevation-slope package is context data, not a flood observation or label."
Hackathon-provided Sentinel-1 Thailand raster,Sentinel1_Thailand-0000000000-0000000000-002.tif,<input_dir>/Sentinel1_Thailand-0000000000-0000000000-002.tif,local_file,,image_tiff,sentinel1_sar,candidate Mae Sai SAR context or gated baseline input after checksum and event-date review,3249365100,3.249,,,,,,,0000000000-0000000000,,23296,23296,2,float32|float32,VV|VH,EPSG:4326,97.3436,14.187003,103.621746,20.465149,mae_sai_2024_point,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,"Sentinel-1 file is cataloged as provided data; acquisition timing is not locked from filename, so it is not yet a real pre/post flood pair."
THEOS-2 hackathon sample imagery,IMG_T2V_20250730033331_ORTHO_PMS_32-004.tif,<input_dir>/IMG_T2V_20250730033331_ORTHO_PMS_32-004.tif,local_file,,image_tiff,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",8095939271,8.096,,,20250730,033331,ORTHO,PMS,32,004,31708,31812,4,uint16|uint16|uint16|uint16,|||,EPSG:32647,99.734272,16.960873,99.883844,17.105233,none_of_current_mvp_points,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,IMG_T2V_20250731035100_ORTHO_PMS_32-003.tif,<input_dir>/IMG_T2V_20250731035100_ORTHO_PMS_32-003.tif,local_file,,image_tiff,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",6695093025,6.695,,,20250731,035100,ORTHO,PMS,32,003,28508,29240,4,uint16|uint16|uint16|uint16,|||,EPSG:32647,100.692074,18.520534,100.828467,18.65387,none_of_current_mvp_points,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,IMG_T2V_20250731035100_ORTHO_PMS_32-001.tif,<input_dir>/IMG_T2V_20250731035100_ORTHO_PMS_32-001.tif,local_file,,image_tiff,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",6666381256,6.666,,,20250731,035100,ORTHO,PMS,32,001,28580,29040,4,uint16|uint16|uint16|uint16,|||,EPSG:32647,100.675272,18.446465,100.81192,18.578886,none_of_current_mvp_points,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,IMG_T2V_20241203033748_ORTHO_PMS_32-015.tif,<input_dir>/IMG_T2V_20241203033748_ORTHO_PMS_32-015.tif,local_file,,image_tiff,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",5139675161,5.14,,,20241203,033748,ORTHO,PMS,32,015,25176,25348,4,uint16|uint16|uint16|uint16,|||,EPSG:32647,100.819231,12.634775,100.935949,12.750143,none_of_current_mvp_points,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,IMG_T2V_20241203033748_ORTHO_PMS_32-021.tif,<input_dir>/IMG_T2V_20241203033748_ORTHO_PMS_32-021.tif,local_file,,image_tiff,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",5139675167,5.14,,,20241203,033748,ORTHO,PMS,32,021,25176,25348,4,uint16|uint16|uint16|uint16,|||,EPSG:32647,100.819231,12.634775,100.935949,12.750143,none_of_current_mvp_points,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
THEOS-2 hackathon sample imagery,IMG_T2V_20241203033748_ORTHO_PMS_32_2-013.tif,<input_dir>/IMG_T2V_20241203033748_ORTHO_PMS_32_2-013.tif,local_file,,image_tiff,theos2_optical,"optical context, thumbnail, and land-cover/exposure support only",5139675167,5.14,,,20241203,033748,ORTHO,PMS,32_2,013,25176,25348,4,uint16|uint16|uint16|uint16,|||,EPSG:32647,100.819231,12.634775,100.935949,12.750143,none_of_current_mvp_points,user_reported_hackathon_free_use,not_recorded,False,metadata-only library row; sha256 checksum not recorded for this library asset; source file remains outside Git,THEOS-2 remains optical context only unless separately selected and checksum-gated.
